,Year,CO2,sqrt_CO2,Log_CO2,recp_CO2,exp_CO2
0,1800.0,0.00568,0.07536577472566709,-5.170804046249077,176.05633802816902,1.0056961617851572
1,1801.0,0.00561,0.07489993324429602,-5.183204559447532,178.25311942959001,1.0056257655177303
2,1802.0,0.00555,0.0744983221287567,-5.193957351223794,180.18018018018017,1.0055654297818895
3,1803.0,0.00548,0.07402702209328699,-5.206650178022213,182.48175182481754,1.0054950426653826
4,1804.0,0.00542,0.07362064927722385,-5.217659463530582,184.50184501845018,1.0054347147726777
5,1805.0,0.00536,0.07321202087089251,-5.228791303899427,186.56716417910448,1.0053743904995376
6,1806.0,0.00529,0.07273238618387273,-5.241937033111929,189.0359168241966,1.0053040167553122
7,1807.0,0.00523,0.07231873892705819,-5.253344000905305,191.20458891013382,1.005243700323818
8,1808.0,0.00517,0.0719027120489902,-5.2648825904617995,193.42359767891682,1.005183387511201
9,1809.0,0.00511,0.07148426400264607,-5.276555874766524,195.69471624266146,1.0051230783172442
10,1810.0,0.00504,0.0709929573971954,-5.29034919689886,198.4126984126984,1.0050527221642562
11,1811.0,0.00497,0.07049822692805827,-5.3043354388736,201.2072434607646,1.0049823709360264
12,1812.0,0.0049,0.06999999999999999,-5.318520073865556,204.08163265306123,1.0049120246322103
13,1813.0,0.00483,0.06949820141557622,-5.3329088113176555,207.0393374741201,1.004841683252463
14,1814.0,0.00475,0.06892024376045111,-5.349610660935587,210.5263157894737,1.0047612991332104
15,1815.0,0.00466,0.06826419266350404,-5.368739830844582,214.59227467811158,1.0046708746854496
16,1816.0,0.00457,0.06760177512462229,-5.3882420740760235,218.8183807439825,1.004580458375523
17,1817.0,0.00447,0.06685805860178712,-5.410366870356659,223.71364653243847,1.0044800053524203
18,1818.0,0.00438,0.0661815684310972,-5.430706554593782,228.31050228310502,1.0043896062199604
19,1819.0,0.00427,0.06534523701081817,-5.456141451741604,234.19203747072598,1.0042791294396105
20,1820.0,0.00417,0.06457553716385177,-5.479839243171427,239.8081534772182,1.0041787065478949
21,1821.0,0.00406,0.06371812928829597,-5.506572305368496,246.30541871921181,1.0040682529652332
22,1822.0,0.00395,0.06284902544988268,-5.534039700069107,253.1645569620253,1.003957811531797
23,1823.0,0.00384,0.06196773353931867,-5.562282912382502,260.4166666666667,1.0038473822462506
24,1824.0,0.00373,0.06107372593840988,-5.591347045326413,268.0965147453083,1.0037369651072576
25,1825.0,0.00362,0.06016643582596529,-5.621281253144457,276.24309392265195,1.0036265601134817
26,1826.0,0.0035,0.05916079783099616,-5.654992310486769,285.7142857142857,1.0035061321520904
